Statistik Penumpang Kereta Api,,,,,,,,,,,,,
,Penumpang Angkutan Kereta Api Nasional Bulanan,,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Penumpang (000),43357,42034,40879,44848,45084,-,-,-,-,-,-,-,-
Total Jarak Tempuh Penumpang (000.000 km),2460,2217,2229,2788,2453,-,-,-,-,-,-,-,-
Rata-rata Jarak Perjalanan Per penumpang (km),57,53,55,62,54,-,-,-,-,-,-,-,-
