Statistik Penumpang Kereta Api,,,,,,,,,,,,,
,Penumpang Angkutan Kereta Api Nasional Bulanan,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Penumpang (000),17798,13103,19505,19868,23811,23811,25964,24520,25809,27879,27201,30153,279422
Total Jarak Tempuh Penumpang (000.000 km),1126,838,1268,1314,1888,1637,1992,1671,1654,1827,1741,2095,19051
Rata-rata Jarak Perjalanan Per penumpang (km),63,64,65,66,79,69,77,68,64,66,64,69,68
