Statistik Penumpang Kereta Api,,,,,,,,,,,,,
,Penumpang Angkutan Kereta Api Nasional Bulanan,,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Penumpang (000),29349,26572,30169,28705,30972,30655,33403,31757,32132,34208,33549,35757,377228
Total Jarak Tempuh Penumpang (000.000 km),1900,1684,1838,2066,2074,2112,2397,2095,2087,2209,2158,2537,25157
Rata-rata Jarak Perjalanan Per penumpang (km),65,63,61,72,67,69,72,66,65,65,64,71,67
